URL,Titre,Source,Categorie,Severite,Date
https://nvd.nist.gov/vuln/detail/CVE-2026-4248,CVE-2026-4248,NVD,cve,important,2026-03-27T23:40:51.277230+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4990,CVE-2026-4990,NVD,cve,important,2026-03-27T22:42:06.565678+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-27309,CVE-2026-27309,NVD,cve,important,2026-03-27T22:42:02.891994+00:00
https://nvd.nist.gov/vuln/detail/CVE-2019-25651,CVE-2019-25651,NVD,cve,important,2026-03-27T22:41:57.542850+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4976,CVE-2026-4976,NVD,cve,important,2026-03-27T21:44:46.574967+00:00
https://www.bleepingcomputer.com/news/security/backdoored-telnyx-pypi-package-pushes-malware-hidden-in-wav-audio/,Backdoored Telnyx PyPI package pushes malware hidden in WAV audio,BleepingComputer,cyberattaque,critique,2026-03-27T21:44:28.515371+00:00
https://www.rapid7.com/blog/post/pt-metasploit-wrap-up-03-27-2026,Metasploit Wrap-Up 03/27/2026,Rapid7 Blog,outil,moyen,2026-03-27T21:44:19.488916+00:00
https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0366/,Multiples vulnérabilités dans Traefik (27 mars 2026),CERT-FR Avis,alerte,critique,2026-03-27T20:50:06.367130+00:00
https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0360/,Multiples vulnérabilités dans ISC BIND (26 mars 2026),CERT-FR Avis,alerte,critique,2026-03-27T20:50:00.645134+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-33634,CVE-2026-33634,CISA KEV,kev,critique,2026-03-27T20:45:31.303197+00:00
https://nvd.nist.gov/vuln/detail/CVE-2025-53521,CVE-2025-53521,CISA KEV,kev,critique,2026-03-27T20:45:27.588145+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4975,CVE-2026-4975,NVD,cve,important,2026-03-27T20:45:24.134474+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4974,CVE-2026-4974,NVD,cve,important,2026-03-27T20:45:20.703580+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4965,CVE-2026-4965,NVD,cve,important,2026-03-27T20:45:17.343384+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4962,CVE-2026-4962,NVD,cve,important,2026-03-27T20:45:13.619732+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4961,CVE-2026-4961,NVD,cve,important,2026-03-27T20:45:10.296183+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4960,CVE-2026-4960,NVD,cve,important,2026-03-27T20:45:06.741159+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-28369,CVE-2026-28369,NVD,cve,important,2026-03-27T20:45:03.288504+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-28368,CVE-2026-28368,NVD,cve,important,2026-03-27T20:44:59.393702+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-28367,CVE-2026-28367,NVD,cve,important,2026-03-27T20:44:55.913491+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4959,CVE-2026-4959,NVD,cve,important,2026-03-27T20:44:48.607927+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4956,CVE-2026-4956,NVD,cve,important,2026-03-27T20:44:44.836124+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4955,CVE-2026-4955,NVD,cve,important,2026-03-27T20:44:41.493100+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4953,CVE-2026-4953,NVD,cve,important,2026-03-27T20:44:37.996788+00:00
https://www.lemondeinformatique.fr/actualites/lire-en-assouplissant-l-ia-act-le-parlement-europeen-perturbe-l-agenda-des-dsi-99755.html,"En assouplissant l'IA Act, le Parlement européen perturbe l'agenda des DSI",Le Monde Informatique Secu,veille_fr,critique,2026-03-27T20:44:32.687341+00:00
https://www.undernews.fr/hacking-hacktivisme/une-etude-met-en-lumiere-les-fuites-de-donnees-qui-ont-fait-le-plus-de-degats-en-2025.html,Une étude met en lumière les fuites de données qui ont fait le plus de dégâts en 2025,UnderNews,veille_fr,critique,2026-03-27T20:44:27.083656+00:00
https://www.undernews.fr/alertes-securite/le-sdk-de-voix-ia-telnyx-a-ete-compromis-dans-le-cadre-de-la-campagne-teampcp.html,Le SDK de voix IA « Telnyx » a été compromis dans le cadre de la campagne TeamPCP,UnderNews,veille_fr,critique,2026-03-27T20:44:23.080070+00:00
https://www.securityweek.com/rsac-2026-conference-announcements-summary-days-3-4/,RSAC 2026 Conference Announcements Summary (Days 3-4),SecurityWeek,cyberattaque,critique,2026-03-27T20:44:13.685242+00:00
https://www.securityweek.com/openai-launches-bug-bounty-program-for-abuse-and-safety-risks/,OpenAI Launches Bug Bounty Program for Abuse and Safety Risks,SecurityWeek,cyberattaque,moyen,2026-03-27T20:44:10.198892+00:00
https://www.securityweek.com/pro-iranian-hacking-group-claims-credit-for-hack-of-fbi-director-kash-patels-personal-account/,Pro-Iranian Hacking Group Claims Credit for Hack of FBI Director Kash Patel’s Personal Account,SecurityWeek,cyberattaque,important,2026-03-27T20:44:06.506780+00:00
